country_name,year,gdp,popdensity,income_per_person,life_expectancy,total_population,m_in,m_out
Colombia,1990,40274204595.2296,30.8891960342,7752,71.5,34271563,103448,1007042
Comoros,1990,250030778.38846,223.0757657174,1595,57.1,415144,12560,40076
Costa Rica,1990,7403457319.20472,60.6344300823,7333,76.6,3095994,209300,69488
Croatia,1990,,85.4945448041,17890,72.6,4776374,371626,379122
Cuba,1990,28645436550.5319,98.5296275605,13670,74.7,10582082,29587,835185
Curaçao,1990,,327.4774774775,,,146674,0,41843
Cyprus,1990,5591130217.66965,82.9665584416,23802,76.8,766611,43432,173858
Czech Republic,1990,40315847383.7197,133.7304904879,19839,71.8,10323701,110394,259754
Democratic Republic of the Congo,1990,,15.4221018504,5264,54.3,2386467,663006,401707
Denmark,1990,138094873105.387,121.2771644256,33256,75.1,5140332,235189,201989
Djibouti,1990,452328104.992109,25.3820534944,3050,61,588356,114910,5247
Dominica,1990,166322219.284866,94.5706666667,6661,72.8,70928,2055,42360
Dominican Republic,1990,7073674721.12418,148.6681705298,5278,71.8,7183646,289949,464999
Early-demographic dividend,1990,1826235778636.76,61.0599355171,,,,,
East Asia & Pacific,1990,4723765211352.99,74.6152934933,,,,,
East Asia & Pacific (excluding high income),1990,670743614733.574,100.6780744853,,,,,
East Asia & Pacific (IDA & IBRD countries),1990,669466304546.349,100.1662129071,,,,,
East Timor,1990,,49.7801613988,1046,58.5,740231,7892,1781
Ecuador,1990,15239278100.3502,36.9097131917,7542,71.2,10218085,78436,212646
Egypt,1990,43130416913.4141,56.6550534934,6020,65.2,56397273,164324,1320273
El Salvador,1990,4800900000,253.4788610039,4454,67.7,5252082,47116,1233103
Equatorial Guinea,1990,112119406.548331,13.4532263815,1050,48.9,377363,2214,34972
Eritrea,1990,,31.080029703,850,52.4,3139083,10766,169345
Estonia,1990,,37.0175513093,13260,70.1,1565320,381355,113870
Ethiopia,1990,12175166763.285,43.6485867393,653,45.2,48057094,1125957,1686181
Euro area,1990,5871828806255.26,117.7543148221,,,,,
Europe & Central Asia,1990,8834246521228.42,30.8137515895,,,,,
Europe & Central Asia (excluding high income),1990,929247383295.73,17.0317343497,,,,,
Europe & Central Asia (IDA & IBRD countries),1990,1016056902568.42,18.6283094296,,,,,
European Union,1990,7577008828897.8,113.5496031369,,,,,
Faroe Islands,1990,,34.4061604585,,,48031,4140,7507
Federated States of Micronesia,1990,147200000,,2763,64.3,96331,103108,7713
Fiji,1990,1337024782.22702,39.8810071155,5694,65.1,728626,11655,89367
Finland,1990,141517648888.198,16.3709609639,28599,75.1,4986705,61133,250486
Fragile and conflict affected situations,1990,,17.464333197,,,,,
France,1990,1275300566196.84,106.8598269432,29476,77.2,56943299,5897267,1196770
French Polynesia,1990,3181206304.81549,54.1994535519,,68.7,198370,22416,2913
Gabon,1990,5952293765.84484,3.6956921644,19358,59.5,952269,124621,15188
Georgia,1990,7753501867.76095,84.0127366248,8018,69.9,5460309,330420,920424
Germany,1990,1764967948916.6,227.5170538195,31476,75.4,78958237,5601544,3275015
Ghana,1990,5889174833.90034,64.2887404412,1920,58,14628260,153715,373646
Gibraltar,1990,,2683.3,,,26833,7438,11585
Greece,1990,97891090928.6328,79.1062218774,21085,77,10131737,618139,1038338
Greenland,1990,1018977225.44427,0.1627158326,17371,64.6,55603,9354,9524
Grenada,1990,221070366.466127,283.1941176471,7488,69.9,96286,2793,43161
Guam,1990,,241.6333333333,,72.6,130482,67120,1360
Guatemala,1990,7650125576.4628,85.4660974244,5315,64.6,9158547,264169,343406
Guinea,1990,2666616176.91609,24.5567393782,1128,52,6034082,402236,352557
Guinea-Bissau,1990,243961995.509711,37.5607396871,1564,51.5,1056208,14726,55307
Guyana,1990,396582263.291139,3.6590398781,3231,64.2,720282,3674,233234
Haiti,1990,,257.6100507983,2242,54.3,7099733,17725,527264
Heavily indebted poor countries (HIPC),1990,129542859159.075,17.865394304,,,,,
High income,1990,18876078912685.7,28.6404762558,,,,,
Honduras,1990,3048896180.84277,43.8230672982,3205,70.3,4903363,270279,156429
Hong Kong,1990,76928290841.8701,5762.1212121212,26974,77.52,5794034,2000265,493228
Hungary,1990,,115.4332702793,16930,69.5,10385061,336699,386321
IBRD only,1990,3441215760482.94,49.709123473,,,,,
Iceland,1990,6521544489.20626,2.5419052369,28666,78.3,254830,9584,17293
IDA & IBRD total,1990,3763803691425.46,44.9368803814,,,,,
IDA blend,1990,137168209559.409,51.1938006313,,,,,
IDA only,1990,192185889905.932,27.303343501,,,,,
IDA total,1990,325679346188.937,33.199121587,,,,,
India,1990,326608014285.316,292.8174035295,1777,58.2,870601776,7362652,6717390
Indonesia,1990,114426498045.009,100.1544632556,4548,64,181436821,374951,1635503
Iran,1990,124813270133.97,34.4903110129,9511,66,56169196,4290497,629524
Iraq,1990,179885815374.719,39.9626288954,11212,65.7,17478455,63698,1501477
Isle of Man,1990,,123.3543859649,,,70312,33140,10004
Israel,1990,52490325640.2953,215.3419593346,17152,76.7,4499161,1489650,278793
Italy,1990,1177326298642.53,192.8504301112,30746,77,57007577,1428219,3410714
Ivory Coast,1990,10795850584.5874,38.2575754717,3234,55.3,12165909,1794958,370832
Jamaica,1990,4592208207.63945,220.6832871653,7391,74.8,2385806,18126,588158
Japan,1990,3103698099973.41,338.8288535381,29550,79,122249285,1065694,608574
Jordan,1990,4159928704.0162,38.0604374433,7057,71.5,3358453,1144334,311562
Kazakhstan,1990,26932728898.8146,6.0554876468,12729,68,16530027,3619200,2972136
Kenya,1990,8572359162.86876,41.1958902906,2376,61.8,23446229,196730,237439
Kiribati,1990,28413863.0864101,89.3962962963,1453,58,72411,1691,3625
Kosovo,1990,,171.0296684119,,,,,
Kuwait,1990,18427778571.0531,115.5349046016,37521,77.2,2058832,1048104,80563
Kyrgyzstan,1990,2674000000,22.8946819604,3475,66,4394502,608720,522514
Laos,1990,865559856.1639,18.4048483536,1622,51.5,4247839,22074,481859
Late-demographic dividend,1990,2021876739116.67,41.5103786973,,,,,
Latin America & Caribbean,1990,1166339117666.52,22.2215869792,,,,,
Latin America & Caribbean (excluding high income),1990,938382734620.999,23.874181634,,,,,
Latin America & the Caribbean (IDA & IBRD countries),1990,1097566477156.29,21.6117583675,,,,,
Latvia,1990,,42.8186860891,13383,69.6,2663985,646007,214951
Least developed countries: UN classification,1990,163317856443.84,25.1562360639,,,,,
Lebanon,1990,2838485397.82897,264.2247311828,7734,69.3,2703019,520116,505729
Lesotho,1990,544583156.185985,52.6196969697,1301,60.5,1597534,4469,191950
Liberia,1990,384400000,21.8321947674,503,48.6,2102877,74599,516656
Libya,1990,28904898117.7385,2.4997550496,26928,73.4,4398419,457075,74803
Liechtenstein,1990,1421508875.2782,179.65625,,,28745,10877,3448
Lithuania,1990,,58.9955009572,17041,71.5,3697393,335946,340981
Low & middle income,1990,3530965329721.5,46.1293718325,,,,,
Low income,1990,96260953992.3562,23.8640361623,,,,,
Lower middle income,1990,918520518892.835,87.5114330451,,,,,
Luxembourg,1990,13361108522.4529,,56922,75.2,381787,113439,27703
Macau,1990,2990180515.91709,17986.75,36984,75.36,359735,191386,93949
Madagascar,1990,3081479800.28735,19.8538054132,1661,56,11545782,17503,58496
Malawi,1990,1880784191.81484,99.7984514213,540,48.8,9408998,1096822,121005
Malaysia,1990,44024177914.6074,55.4286927408,10159,71.8,18211097,609304,490482
Maldives,1990,215089005.235602,726.6666666667,4363,66,223179,8435,2112
Mali,1990,2681912149.14767,6.9514378908,1100,50,8482075,142919,647720
Malta,1990,2547330284.04418,1106.78125,16596,77.1,355707,14979,109526
Marshall Islands,1990,78476000,,2950,64.6,47300,1022,1407
Mauritania,1990,1019600770.6038,1.963388959,2800,59.5,2023665,110227,134113
Mauritius,1990,2653485952.13319,521.5640394089,7568,69.3,1055865,3246,107960
Mexico,1990,262709785592.711,44.0388919468,12479,71.5,85609404,693754,4393907
Middle East & North Africa,1990,543761606446.59,22.6479670955,,,,,
Middle East & North Africa (excluding high income),1990,,26.2040749769,,,,,
Middle East & North Africa (IDA & IBRD countries),1990,,25.9933131582,,,,,
Middle income,1990,3440284829547.37,49.9477258709,,,,,
Moldova,1990,3592856080.02915,128.7490855889,6440,68.2,4364114,527124,625795
Monaco,1990,2481316053.85316,14719,43173,,29438,11565,4370
Mongolia,1990,2560785660,1.405896779,5122,62.3,2184145,6043,24119
Montenegro,1990,,45.0834200743,16136,74.6,614999,0,77381
Morocco,1990,30179962098.142,55.9043871835,3901,67.7,24950128,43973,1587234
Mozambique,1990,2512109516.61781,17.0044647626,462,51.5,13371971,58963,2217623
Myanmar,1990,,64.2765691465,1775,57.6,42007309,120047,585080
Namibia,1990,2804357081.08613,1.719256884,5717,61.7,1415447,117404,15792
Nauru,1990,,457.85,30647,,9157,2598,968
Nepal,1990,3627559252.20577,131.0607552448,1240,58.4,18741688,411030,747642
Netherlands,1990,314267667675.178,442.8764810427,32534,77,14915139,1180236,726603
New Caledonia,1990,2529310103.83608,9.3489606127,,70.7,168537,35367,2961
New Zealand,1990,45495727006.5141,12.6459306521,24021,75.6,3397534,499649,381810
Nicaragua,1990,1009455476.10732,34.4404520525,3025,73.3,4144564,40112,441312
Niger,1990,2480673304.74309,6.2460598405,924,47.2,7911884,105305,132711
Nigeria,1990,30757075595.3681,104.9851718875,3030,54.1,95617345,299556,447501
North America,1990,6575110950908.47,15.2019187488,,,,,
North Korea,1990,,167.713263018,2076,68.9,20194354,31012,38962
Northern Mariana Islands,1990,,,,,43972,25498,2519
Norway,1990,119791683307.507,11.6126791606,43296,76.6,4240375,186730,135915
Not classified,1990,,,,,,,
OECD members,1990,18678749792835.8,31.0773138254,,,,,
Oman,1990,11685045607.8469,5.8551179321,35076,72.1,1812159,299352,12489
Other small states,1990,53986815849.9641,8.553983996,,,,,
Pacific island small states,1990,2416850555.8137,26.9554088451,,,,,
Pakistan,1990,40010425585.0861,139.5906483499,2961,62.1,107607639,6203799,3335625
Palau,1990,76888000,,16913,,15089,2695,2963
Panama,1990,5625703300,33.2393058918,7463,74.9,2471010,62485,134585
Papua New Guinea,1990,3219730365,9.1814313474,1607,56,4157903,31057,3015
Paraguay,1990,5695201563.42495,10.6059400956,5985,74.2,4213740,189434,297648
Peru,1990,25710059622.0643,17.0520765625,5280,68.7,21826658,63987,309800
Philippines,1990,44311595229.859,207.758459939,4010,67.6,61947340,128466,2027283
Poland,1990,64712371654.1385,124.4271180907,10088,70.9,38195258,1073550,1531728
Portugal,1990,78721607509.4923,109.1062076503,20282,74.2,9890319,431537,2060790
Post-demographic dividend,1990,18337692977990.7,30.672694086,,,,,
Pre-demographic dividend,1990,167645307794.007,20.6014005328,,,,,
Puerto Rico,1990,30603919000,398.7598647125,25275,73.8,3517984,312915,1200789
Qatar,1990,7360439210.95034,41.0403100775,73402,74.5,476478,305265,12107
Republic of Ireland,1990,49361026051.8432,51.0084772826,22468,76.3,3563106,227961,865640
Republic of Macedonia,1990,4471828621.90813,78.4988989383,9563,71.7,1996227,93617,388831
Republic of the Congo,1990,2798746050.58236,6.9881903367,1270,54.5,34962676,121479,91168
Romania,1990,38299106119.9263,101.163440157,11449,70,23489361,126763,812830
Russia,1990,516814258695.568,9.0477396209,19349,69.2,147568552,11516298,12696172
Rwanda,1990,2550185692.53721,294.2740170247,856,50.5,7259740,139650,550675
Saint Kitts and Nevis,1990,208740440.757955,157.05,14258,,40833,1521,20697
Saint Lucia,1990,397192585.577919,226.5245901639,7979,70.2,138180,3473,21990
Saint Vincent and the Grenadines,1990,240365255.014256,275.6641025641,5726,69.7,107509,3718,37021
Samoa,1990,125766270.897892,57.5494699647,3649,69.1,162865,3124,69152
San Marino,1990,,400.75,34215,,24045,3203,1425
São Tomé and Príncipe,1990,,118.3072916667,2254,63.4,113575,5483,13960
Saudi Arabia,1990,116778104138.852,7.6110755504,35681,73.9,16361453,4830679,106451
Senegal,1990,5716644524.96413,39.0287279904,1856,57.8,7514201,234420,369114
Serbia,1990,,86.736793963,14457,72.5,9517670,99189,664492
Seychelles,1990,368584758.942457,152.1739130435,14116,69.1,70627,2947,26766
Sierra Leone,1990,649644826.800447,54.463951233,1334,51.6,3931208,221192,60832
Singapore,1990,36152800270.0498,4547.9582089552,34316,74.9,3016400,445694,155629
Sint Maarten,1990,,,,,28546,,
Slovakia,1990,12694544692.7374,110.1702079002,14366,71,5277709,41183,130764
Slovenia,1990,,99.2135551142,19147,73.7,2006520,178032,84425
Small states,1990,74058567962.4111,10.0115359577,,,,,
Solomon Islands,1990,302515026.890225,11.1414433726,1793,60.1,311849,3925,1194
Somalia,1990,,10.0768562502,930,48.8,6321615,460000,846606
South Africa,1990,112014836393.151,29.016808316,10364,62,36793490,1057863,326425
South Asia,1990,411962013510.409,237.0026973746,,,,,
South Asia (IDA & IBRD),1990,411962013510.409,237.0026973746,,,,,
South Korea,1990,284757121057.986,444.4254924321,12087,71.8,42972254,40921,1625095
South Sudan,1990,,,2013,50.9,5762190,0,514943
Spain,1990,535101248775.71,77.7879925517,24126,76.9,39192055,817573,1448998
Sri Lanka,1990,8032551173.24014,272.3329612502,3340,70.5,17330817,39935,884854
St. Martin,1990,,552.1323529412,,,24970,0,14368
Sub-Saharan Africa,1990,306872391059.618,21.4439520371,,,,,
Sub-Saharan Africa (excluding high income),1990,306502218843.877,21.4414165806,,,,,
Sub-Saharan Africa (IDA & IBRD countries),1990,306872391059.618,21.4439520371,,,,,
Sudan,1990,12408647780.4484,10.8463779461,1753,58.9,20008804,1369612,585849
Suriname,1990,388300000,2.6171538462,10625,69.7,408276,10581,179589
Swaziland,1990,1114694112.47478,50.1586046512,4844,60.7,862728,67820,35067
Sweden,1990,258154283908.9,20.8579105132,30901,77.6,8559107,720175,201373
Switzerland,1990,257420293190.325,169.88841104,46600,77.5,6673920,1162183,323025
Syria,1990,12308624283.9787,67.7524159321,3809,70.5,12451539,248732,615517
Tajikistan,1990,2629395066.27017,37.8485710203,3635,65.3,5297286,428236,536211
Tanzania,1990,4258742898.93795,28.7403567397,1471,55.2,25458208,569603,202850
Thailand,1990,85343189320.7519,110.7534381178,6369,71,56582824,528671,308754
The Bahamas,1990,3166000000,25.6081918082,24281,68.5,256338,25319,24994
The Gambia,1990,317083373.524559,90.593972332,1517,61.3,916811,114683,36131
Togo,1990,1628427587.46411,69.6257032543,1350,57.8,3786942,74051,193357
Tonga,1990,113563821.577404,132.1555555556,3572,69.1,95152,820,26503
Trinidad and Tobago,1990,5068000000,238.18791423,13464,69.1,1221904,46645,196602
Tunisia,1990,12290568181.8182,52.4871266735,5502,71.8,8232797,32025,453522
Turkey,1990,150676291094.21,70.1565752375,10670,68.1,53994605,979704,2529919
Turkmenistan,1990,3189539641.3171,7.8054178282,8353,63.9,3668000,304375,259966
Turks & Caicos Islands,1990,,12.1578947368,10751,,11550,4481,2311
Tuvalu,1990,8824746.23813152,300.1333333333,2369,,9004,239,2289
U.S. Virgin Islands,1990,1564700032,297.0371428571,,74.73,103253,44012,2362
Uganda,1990,4304399516.07681,87.0044992743,767,50.7,17384369,536580,310565
Ukraine,1990,81456918678.5008,89.5693449556,10490,70,51370009,6481438,5549216
United Arab Emirates,1990,50701443695.6113,21.6681578947,114832,70.6,1811458,1287556,78979
United Kingdom,1990,1093169389204.55,236.628719051,26424,75.7,57110117,3641645,2684459
United States,1990,5979589000000,27.2545136129,37062,75.4,252847810,20315256,1735161
Upper middle income,1990,2521683269063.42,35.5544464888,,,,,
Uruguay,1990,9298839655.23138,17.7693235059,9841,73,3109987,91866,237010
Uzbekistan,1990,13360607990.6751,48.2134461683,3032,67.8,20515248,1577433,1429711
Vanuatu,1990,158397406.344715,12.0289581624,2550,61.9,146633,1565,4213
Venezuela,1990,47027508385.03,22.5179513633,14539,72.5,19861959,1024726,185282
Vietnam,1990,6471740486.31946,202.8225137485,1501,69.3,68209604,27398,1232466
West Bank and Gaza,1990,,328.6126245847,,,,,
World,1990,22563115177744.8,40.6959936317,,,,,
Yemen,1990,5647251908.39695,22.6548838002,3441,58.5,11961099,90251,455221
Zambia,1990,3288381797.32415,10.9540644884,2407,51.9,8143142,269896,80898
Zimbabwe,1990,8783816700,27.1029365387,2532,63,10484771,598946,168432
Afghanistan,1995,,25.6908403027,872,49.4,16772522,55794,3616768
Albania,1995,2424499009.14264,116.3424817518,3941,73.7,3106727,63452,498173
Algeria,1995,41764052457.8814,12.1357914802,9168,71.6,28904300,250204,963470
American Samoa,1995,,264.37,,70.6,52874,22301,2655
Andorra,1995,1178745314.32635,135.8595744681,26143,82.6,63854,39688,4024
Angola,1995,4967585281.89541,10.4617518248,2859,50.9,13042666,33126,668380
Antigua and Barbuda,1995,494185185.185185,155.3386363636,17167,73.5,68349,16990,34611
Arab World,1995,522868447817.486,18.5401382897,,,,,
Argentina,1995,258031750000,12.787278793,10673,73.5,34994818,1512538,477924
Armenia,1995,1468317350.02343,113.2129610116,2169,69.1,3223173,654786,900020
Aruba,1995,1320670391.06145,446.2555555556,38602,73.62,80326,19002,10622
Australia,1995,367949212949.213,2.3524204991,30359,78.3,18124770,4125550,342288
Austria,1995,240457622492.152,96.2494308549,33480,76.8,7972833,894893,488772
Azerbaijan,1995,3052467522.36104,92.3489190911,3320,64.6,7770806,340965,1712735
Bahrain,1995,5849467819.14894,793.985915493,43244,73,563730,201392,28977
Bangladesh,1995,37939748051.3878,909.793101329,1424,61.6,118427768,708325,5417386
Barbados,1995,2262218367.84335,616.1906976744,12587,73.3,264962,20140,87988
Belarus,1995,13972637603.2102,50.2563596924,5275,68.2,10159731,1186020,1749329
Belgium,1995,289567597153.804,,32774,76.9,10161914,869676,370038
Belize,1995,620140400,9.0733011837,6209,70.5,206962,32317,40794
Benin,1995,2169627250.93379,53.08316779,1398,56.7,5985658,88638,272868
Bermuda,1995,2030749952,1194.92,41999,72.5,62694,15980,41938
Bhutan,1995,303053462.843047,12.7863567839,2930,63.8,508897,25828,117839
Bolivia,1995,6715220507.05164,6.9848758423,4068,64.4,7566716,82464,281106
Bosnia and Herzegovina,1995,1866572953.73665,75.7671484375,1976,67,3879278,68250,1347371
Botswana,1995,4730611067.02258,2.78137914,8823,56.8,1576291,35261,22891
Brazil,1995,785643456467.255,19.4726403243,11108,69,162755054,713984,743292
British Virgin Islands,1995,,122.8333333333,,,18425,8840,4239
Brunei,1995,4734020036.68689,55.9791271347,78406,74.7,295010,83870,33399
Bulgaria,1995,13063422619.0476,75.9836120401,8479,71,8358116,30380,649928
Burkina Faso,1995,2379518099.2266,36.8782017544,869,51.3,10089876,406520,1213647
Burundi,1995,1000428393.88528,242.9528816199,835,44.5,6239030,214117,543901
Cambodia,1995,3441205692.9166,60.5849705416,1091,58.1,10694459,86480,406572
Cameroon,1995,8733231184.34755,29.4674853504,2188,56.5,13929575,197678,135857
Canada,1995,604031623433.401,3.2280164645,32101,78,29299478,4859011,1042148
Cape Verde,1995,487148993.533109,96.564764268,2361,68.3,389156,8922,107054
Caribbean small states,1995,20906493286.9561,15.3084352229,,,,,
Cayman Islands,1995,,131.9666666667,56588,,31672,14243,802
Central African Republic,1995,1115389731.79119,5.3546502295,881,46.7,3335840,75910,49084
Central Europe and the Baltics,1995,383296042544.024,99.4729346689,,,,,
Chad,1995,1445919969.89272,5.5603827827,1044,53.6,7001634,83902,266959
Channel Islands,1995,,742.5257731959,,,,59282,15628
Chile,1995,71349202308.6423,19.0899463641,12759,75.4,14193986,142417,493481
China,1995,732032045217.766,128.3366211345,2551,68.4,1227841281,344062,4901412
Colombia,1995,92507277798.1985,33.7467147364,8643,72,37441980,106189,1199625
Comoros,1995,231896229.562629,257.6969371306,1467,58.9,479574,12435,51284
Costa Rica,1995,11722357067.305,68.7607716412,8495,76.8,3510925,203856,83242
Croatia,1995,22387561845.2244,83.5092112323,12543,73,4616762,563714,650845
Cuba,1995,30428638304.4183,101.5460707635,9195,75,10906048,22432,908045
Curaçao,1995,,326.8896396396,,,143886,0,48647
Cyprus,1995,9914864165.58862,92.5745670996,26445,76.7,855389,61451,163112
Czech Republic,1995,59537113790.5049,133.6515206419,19093,73.4,10335556,165592,314962
Democratic Republic of the Congo,1995,5647034188.03419,18.6072737699,4715,52.6,2721277,1715920,528702
Denmark,1995,185006961302.299,123.3413386755,36670,75.6,5232582,303108,207696
Djibouti,1995,497723960.589913,28.5192407248,2315,60.4,661076,93804,6874
Dominica,1995,224037033.0804,95.156,7148,72.8,71367,2704,44572
Dominican Republic,1995,16358496124.031,163.3365066225,6188,72.6,7892420,322076,657307
Early-demographic dividend,1995,2486371780834.86,67.883201538,,,,,
East Asia & Pacific,1995,8196922828656.28,79.5003245239,,,,,
East Asia & Pacific (excluding high income),1995,1314199145093.24,107.6857244105,,,,,
East Asia & Pacific (IDA & IBRD countries),1995,1311696489951.7,107.1277759364,,,,,
East Timor,1995,,57.5950907868,1477,61.8,856439,8570,74933
Ecuador,1995,24432884442.2211,41.3255887877,7811,72.3,11440576,100213,317003
Egypt,1995,60159245060.4542,62.7199025566,6553,67.4,62434527,157862,1488642
El Salvador,1995,9500500000,269.7269787645,5589,70,5588743,39351,901665
Equatorial Guinea,1995,141853368.256815,15.983315508,1803,48.5,448332,2934,41617
Eritrea,1995,578015625,31.3276732673,1438,57.8,3164095,11030,323232
Estonia,1995,4373658536.58537,33.8908704883,10464,67.7,1433076,315177,129364
Ethiopia,1995,7663984567.90123,57.237226,578,49.2,57237226,765390,816184
Euro area,1995,7520575802215.98,119.7645800306,,,,,
Europe & Central Asia,1995,10742681748073.7,31.3049629995,,,,,
Europe & Central Asia (excluding high income),1995,754577700522.562,17.2992987948,,,,,
Europe & Central Asia (IDA & IBRD countries),1995,916217925518.205,18.9086684625,,,,,
European Union,1995,9525457155497.01,114.956611853,,,,,
Faroe Islands,1995,,31.5895415473,,,44099,2799,9994
Federated States of Micronesia,1995,222103600,153.6514285714,3185,65.4,107556,112634,11986
Fiji,1995,1970347720.96992,42.4465243569,6073,64.5,775498,11396,106042
Finland,1995,134199346405.229,16.7693949243,27303,76.7,5108176,97820,288348
Fragile and conflict affected situations,1995,,20.1048187817,,,,,
France,1995,1609892232882.11,108.7392204775,30823,78.2,58224051,6087993,1324864
French Polynesia,1995,3982374845.92709,58.7978142077,,70.43,215200,24611,3431
Gabon,1995,4958845906.34769,4.2164357512,19738,59.8,1086449,148958,16462
Georgia,1995,2693731865.97036,82.8230518912,2298,70.7,5067143,272021,953815
Germany,1995,2591620035485.19,233.9674906903,33843,76.6,81612900,7130259,3263505
Ghana,1995,6465137614.6789,73.6617342006,2066,60,16760991,241780,427516
Gibraltar,1995,,2728.5,,,27285,7115,9688
Greece,1995,136878366230.328,81.9406749418,21426,77.8,10641169,857850,1012687
Greenland,1995,1208953358.99709,0.1633011414,17117,66.5,55809,7235,11406
Grenada,1995,276296296.296296,294.8617647059,7522,70.7,100253,3570,53217
Guam,1995,,269.5592592593,,73,145562,69255,2033
Guatemala,1995,14656917900.1721,96.6531728257,5836,66.9,10357354,156124,445417
Guinea,1995,3693753379.05992,31.9999715123,1049,53.4,7863033,772910,365354
Guinea-Bissau,1995,253966919.939838,41.9942034139,1632,52.3,1180877,26883,67054
Guyana,1995,621626785.915493,3.6916179832,4533,64.4,726695,5631,290051
Haiti,1995,2813320255.29799,283.7375181422,1672,56.2,7819806,20863,652648
Heavily indebted poor countries (HIPC),1995,126160957445.832,20.8980276778,,,,,
High income,1995,25640771971093.7,29.7384693136,,,,,
Honduras,1995,3911053180.39625,49.9699347574,3344,70.1,5591136,149299,240135
Hong Kong,1995,144652912433.103,5862.9523809524,32358,78.72,6144498,2152873,545246
Hungary,1995,46199009359.9339,114.9450812375,15095,70.1,10351994,313738,400912
IBRD only,1995,4850488346795.25,53.5050942056,,,,,
Iceland,1995,7181787873.86945,2.6680099751,27671,78.9,267454,12738,20831
IDA & IBRD total,1995,5217174592767.81,48.997098382,,,,,
IDA blend,1995,170931380804.362,57.3310065132,,,,,
IDA only,1995,197034779295.204,31.4583168105,,,,,
IDA total,1995,366585951387.634,37.8680752003,,,,,
India,1995,366600193391.349,323.1798109102,2069,59.9,960874982,6824479,7209476
Indonesia,1995,202132032843.808,108.7221829684,6111,66.1,196957845,318970,1949339
Iran,1995,96419225743.6737,37.0382438365,10477,69.9,60318632,2876948,740016
Iraq,1995,,46.2257562247,6353,65.3,20217759,175951,1310112
Isle of Man,1995,914727080.643268,126.6333333333,,,72181,35239,8266
